GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|YEAR|EMP|EMP_F|EMP_S|EMP_S_F|PAYANN|PAYANN_F|PAYANN_S|PAYANN_S_F|EMPAVPW|EMPAVPW_F|EMPAVPW_S|EMPAVPW_S_F|HOURS|HOURS_F|HOURS_S|HOURS_S_F|PAYANPW|PAYANPW_F|PAYANPW_S|PAYANPW_S_F|CSTMTOT|CSTMTOT_F|CSTMTOT_S|CSTMTOT_S_F|RCPTOT|RCPTOT_F|RCPTOT_S|RCPTOT_S_F|VALADD|VALADD_F|VALADD_S|VALADD_S_F|CEXTOT|CEXTOT_F|CEXTOT_S|CEXTOT_S_F
01|00|0100000US|United States||3114|Fruit and vegetable preserving and specialty food manufacturing||2015|162362||1.1||7039934||1.0||136294||1.2||283732||1.3||5160044||1.2||40221131||.7||74154069||.7||34271646||.8||2143969||4.5|
01|00|0100000US|United States||3114|Fruit and vegetable preserving and specialty food manufacturing||2014|162424||1.0||6772929||1.0||136310||1.2||278954||1.2||4949086||1.2||40216184||.7||72678817||.6||32421826||.8||2233716||2.6|
01|00|0100000US|United States||3115|Dairy product manufacturing||2015|131486||.8||6958633||.6||99880||.7||206890||.7||4841876||.5||80205209||.4||112565732||.4||32167414||.6||2726229||1.0|
01|00|0100000US|United States||3115|Dairy product manufacturing||2014|132346||.3||6837593||.3||97613||.6||202150||.7||4606458||.6||93171701||.3||124783786||.3||31755017||.5||2546876||1.0|
01|00|0100000US|United States||3116|Animal slaughtering and processing||2015|477054||.9||16925378||.7||415016||.9||859578||.8||13222432||.8||155377143||.4||215983573||.4||60084180||.7||4061222||1.8|
01|00|0100000US|United States||3116|Animal slaughtering and processing||2014|472094||.9||16184609||.9||412552||.9||858904||.8||12549694||.8||163239580||.3||221170455||.3||58229816||.9||3970275||1.9|
01|00|0100000US|United States||3117|Seafood product preparation and packaging||2015|31973||1.4||1322119||1.0||26814||1.5||53122||1.3||930211||1.1||6948449||2.9||11949503||2.4||4989721||2.0||327026||1.8|
01|00|0100000US|United States||3117|Seafood product preparation and packaging||2014|32394||1.1||1284456||.8||26980||1.3||52683||1.0||874448||.9||7382150||1.9||12389542||1.6||5015165||1.6||242447||2.7|
01|00|0100000US|United States||3118|Bakeries and tortilla manufacturing||2015|241488||1.0||9734249||.9||171864||1.1||333531||1.0||6062590||.9||30303346||.7||69820397||.7||39562900||1.0||1935703||3.1|
01|00|0100000US|United States||3118|Bakeries and tortilla manufacturing||2014|238584||.8||9571769||.7||170624||.9||330186||.8||5939059||.8||30388535||.6||68670620||.6||38304041||.9||1868200||2.4|
01|00|0100000US|United States||3119|Other food manufacturing||2015|174606||.8||8533133||.7||127960||1.0||269129||.9||5118181||.9||54882233||.6||107190307||.6||52989201||.6||2414296||4.0|
01|00|0100000US|United States||3119|Other food manufacturing||2014|166366||.7||8121309||.7||122222||.8||257381||.8||4784102||.7||52619913||.6||104069551||.5||51969201||.5||2504166||1.9|
01|00|0100000US|United States||312|Beverage and tobacco product manufacturing||2015|156342||1.1||9180253||1.0||88559||1.0||174722||.9||4879447||.8||62287842||.4||155583195||.4||94190923||.5||4141745||3.2|
01|00|0100000US|United States||312|Beverage and tobacco product manufacturing||2014|148220||1.0||8358809||.7||84702||.8||163958||.7||4440809||.7||60825587||.4||147009626||.3||87007286||.4||3649574||2.7|
01|00|0100000US|United States||3121|Beverage manufacturing||2015|143474||1.2||8349446||1.1||78848||1.1||157122||1.0||4380398||.9||54205834||.5||114054769||.5||60691375||.7||3794013||3.5|
01|00|0100000US|United States||3121|Beverage manufacturing||2014|135292||1.1||7536384||.8||75003||.9||146045||.8||3939999||.8||53246849||.4||109708048||.4||57296517||.6||3301957||2.9|
01|00|0100000US|United States||3122|Tobacco manufacturing||2015|12868||.1||830807||.4||9711||.1||17600||.1||499049||.3||8082008||.7||41528426||.4||33499548||.4||347731||.1|
01|00|0100000US|United States||3122|Tobacco manufacturing||2014|12929||.1||822425||.1||9699||.1||17913||.1||500810||.1||7578738||.7||37301578||.4||29710770||.4||347617||.1|
01|00|0100000US|United States||313|Textile mills||2015|100332||.7||4200105||.6||81388||.8||167409||.9||2800063||.8||18549855||.8||30617358||.7||11995135||.8||893277||2.3|
01|00|0100000US|United States||313|Textile mills||2014|99417||.5||4125795||.5||80934||.6||165230||.8||2751354||.6||19184298||.7||31307756||.6||12170350||1.0||1100977||9.3|
01|00|0100000US|United States||3131|Fiber, yarn, and thread mills||2015|24347||.9||850366||.9||21801||1.0||44442||1.3||666834||1.0||5301776||.9||7848212||.8||2541531||.9||223385||1.4|
01|00|0100000US|United States||3131|Fiber, yarn, and thread mills||2014|23659||.9||809165||.8||21172||1.0||42849||1.2||636588||.9||5598678||.8||8066158||.7||2476644||.7||188246||5.4|
01|00|0100000US|United States||3132|Fabric mills||2015|47520||.8||2118659||.9||37774||.9||76702||.9||1386771||1.2||8119792||.9||14501354||.9||6342532||1.3||513779||2.6|
01|00|0100000US|United States||3132|Fabric mills||2014|47462||.5||2116277||.7||38111||.6||76739||.6||1394995||.8||8540413||.9||15095892||1.0||6577257||1.6||716012||14.2|
01|00|0100000US|United States||3133|Textile and fabric finishing and fabric coating mills||2015|28466||1.8||1231079||1.3||21813||2.2||46265||2.7||746458||1.9||5128288||2.4||8267791||1.7||3111072||1.7||156113||9.8|
01|00|0100000US|United States||3133|Textile and fabric finishing and fabric coating mills||2014|28297||1.5||1200353||.9||21650||1.8||45643||2.4||719771||1.8||5045206||1.8||8145706||1.4||3116449||1.5||196718||5.1|
01|00|0100000US|United States||314|Textile product mills||2015|111319||1.2||4117600||1.2||85762||1.2||163946||1.2||2573100||1.1||14330369||2.1||25631387||1.6||11261730||1.3||512881||1.7|
01|00|0100000US|United States||314|Textile product mills||2014|109501||1.2||3987217||1.1||84612||1.3||162971||1.2||2483294||1.1||14412283||1.5||25210672||1.5||10882294||1.8||472811||2.9|
01|00|0100000US|United States||3141|Textile furnishings mills||2015|52295||1.0||1958530||1.0||41994||1.0||80448||1.1||1279241||1.1||8876828||1.7||14636645||1.4||5739752||1.6||288189||2.0|
01|00|0100000US|United States||3141|Textile furnishings mills||2014|51648||1.1||1880328||.8||41722||1.3||80438||1.3||1237736||1.2||8903312||1.6||14277783||1.4||5444615||1.8||270480||3.4|
01|00|0100000US|United States||3149|Other textile product mills||2015|59024||2.1||2159070||2.1||43769||2.2||83498||2.1||1293859||2.0||5453541||4.9||10994742||3.2||5521978||2.0||224692||3.0|
01|00|0100000US|United States||3149|Other textile product mills||2014|57853||2.0||2106889||1.9||42890||2.2||82532||2.1||1245557||2.0||5508971||3.0||10932888||2.9||5437679||3.1||202332||5.1|
01|00|0100000US|United States||315|Apparel manufacturing||2015|87242||1.9||2667476||1.4||68849||2.1||130825||2.0||1749221||1.6||5308094||1.4||11488919||1.1||6252654||1.3||192334||4.4|
01|00|0100000US|United States||315|Apparel manufacturing||2014|88760||1.5||2629317||1.1||69800||1.7||128969||1.6||1689607||1.3||5348620||1.2||11465676||.9||6260705||1.1||207611||2.8|
01|00|0100000US|United States||3151|Apparel knitting mills||2015|11448||2.0||328685||1.8||9879||2.1||18964||1.8||247931||1.5||754301||3.7||1582683||1.9||882272||1.7||65066||2.4|
01|00|0100000US|United States||3151|Apparel knitting mills||2014|11444||2.2||326269||2.2||9806||2.2||19320||2.1||242980||1.8||721934||3.9||1557368||2.0||891571||1.6||55297||1.3|
01|00|0100000US|United States||3152|Cut and sew apparel manufacturing||2015|68473||2.4||2115079||1.7||53440||2.7||101376||2.5||1365694||2.0||4063390||1.6||8888238||1.4||4833710||1.6||119761||6.9|
01|00|0100000US|United States||3152|Cut and sew apparel manufacturing||2014|70064||1.9||2076431||1.4||54462||2.2||99446||2.1||1317535||1.6||4145541||1.4||8858711||1.1||4793766||1.3||139586||4.1|
01|00|0100000US|United States||3159|Apparel accessories and other apparel manufacturing||2015|7321||4.0||223712||2.7||5530||4.8||10485||4.8||135596||3.6||490403||4.3||1017998||3.0||536672||2.9||7507||15.7|
01|00|0100000US|United States||3159|Apparel accessories and other apparel manufacturing||2014|7252||2.0||226617||2.0||5531||2.1||10203||2.3||129092||2.2||481145||4.0||1049597||2.6||575368||2.0||12728||2.3|
01|00|0100000US|United States||316|Leather and allied product manufacturing||2015|24211||.9||897232||.9||18500||.8||34301||.9||523777||.7||3078357||.7||5039725||.4||1945301||.7||80023||1.4|
01|00|0100000US|United States||316|Leather and allied product manufacturing||2014|24066||1.0||861794||.9||18632||1.0||34365||.7||513290||.8||3158312||.6||5132259||.3||2034590||.7||54969||1.2|
01|00|0100000US|United States||3161|Leather and hide tanning and finishing||2015|3361||0||146121||0||2542||0||5483||0||92556||0||1397432||0||1754991||0||331763||0||18626||0|
01|00|0100000US|United States||3161|Leather and hide tanning and finishing||2014|3314||0||141215||0||2535||0||5162||0||91081||0||1534656||0||1882718||0||334663||0||15278||0|
01|00|0100000US|United States||3162|Footwear manufacturing||2015|10751||.5||403456||.4||8572||.6||15969||.4||255023||.5||946839||.2||1783875||.3||820495||.3||44218||.1|
01|00|0100000US|United States||3162|Footwear manufacturing||2014|10631||.5||389096||.5||8565||.6||15961||.4||250985||.5||949011||.2||1824463||.3||945682||.3||21766||.1|
01|00|0100000US|United States||3169|Other leather and allied product manufacturing||2015|10099||2.2||347655||2.3||7386||2.0||12849||2.4||176198||2.1||734086||2.8||1500859||1.4||793043||1.7||17180||6.5|
01|00|0100000US|United States||3169|Other leather and allied product manufacturing||2014|10121||2.3||331483||2.3||7532||2.3||13243||1.8||171224||2.3||674645||2.6||1425077||1.1||754245||1.8||17926||3.7|
01|00|0100000US|United States||321|Wood product manufacturing||2015|366584||.9||15035277||.7||293683||.8||606218||.7||10628162||.7||56612263||.7||97193475||.7||40779892||.8||3526872||1.8|
01|00|0100000US|United States||321|Wood product manufacturing||2014|352084||.7||14157068||.6||284378||.6||584030||.6||10081694||.5||55226624||.6||94924481||.5||40293556||.7||3606392||4.8|
01|00|0100000US|United States||3211|Sawmills and wood preservation||2015|76440||.7||3595088||.6||64250||.8||141659||.7||2751520||.7||18379130||.7||28973556||.8||10649724||1.6||1415694||1.2|
01|00|0100000US|United States||3211|Sawmills and wood preservation||2014|72608||.7||3322690||.6||61337||.7||134183||.7||2566474||.6||16965230||.7||28167225||.7||11576909||1.3||1145675||2.2|
01|00|0100000US|United States||3212|Veneer, plywood, and engineered wood product manufacturing||2015|71571||1.3||3169194||1.0||56833||1.2||116767||1.0||2189240||.9||12339097||2.0||20948309||1.8||8585919||1.6||836997||2.3|
01|00|0100000US|United States||3212|Veneer, plywood, and engineered wood product manufacturing||2014|67652||1.1||3005961||.9||53867||1.1||113056||.9||2072802||.8||12481014||1.8||20675443||1.7||8301060||1.4||847800||9.2|
01|00|0100000US|United States||3219|Other wood product manufacturing||2015|218573||1.5||8270995||1.3||172599||1.2||347791||1.2||5687403||1.2||25894035||1.2||47271610||1.1||21544249||1.2||1274181||4.5|
01|00|0100000US|United States||3219|Other wood product manufacturing||2014|211824||1.1||7828417||1.0||169174||1.0||336791||1.0||5442418||.9||25780379||.8||46081812||.8||20415587||1.0||1612917||9.5|
01|00|0100000US|United States||322|Paper manufacturing||2015|335518||.4||20736565||.4||260799||.4||549529||.4||14217479||.3||99673924||.4||185510424||.3||85851703||.2||8528268||.9|
01|00|0100000US|United States||322|Paper manufacturing||2014|335758||.3||20381316||.3||262480||.3||552501||.4||14043422||.3||101817614||.3||186942473||.2||85262700||.2||9127783||.7|
01|00|0100000US|United States||3221|Pulp, paper, and paperboard mills||2015|102231||.1||7830395||.1||81110||.1||177556||.2||5984495||.2||36934614||.1||80431904||.1||43393834||.1||4776906||.1|
01|00|0100000US|United States||3221|Pulp, paper, and paperboard mills||2014|102726||.1||7842795||.1||82322||.1||181290||.1||6022732||.1||38627242||.1||82855115||.1||44249173||.1||5738971||.1|
01|00|0100000US|United States||3222|Converted paper product manufacturing||2015|233286||.6||12906170||.6||179689||.6||371973||.6||8232984||.6||62739310||.7||105078521||.5||42457869||.5||3751362||2.0|
01|00|0100000US|United States||3222|Converted paper product manufacturing||2014|233032||.5||12538521||.5||180158||.5||371212||.5||8020690||.5||63190372||.5||104087358||.4||41013527||.5||3388813||1.9|
01|00|0100000US|United States||323|Printing and related support activities||2015|416463||.7||19963339||.7||293101||.8||586744||.7||12176184||.7||34193711||.7||82673841||.6||48503373||.7||2154351||2.4|
01|00|0100000US|United States||323|Printing and related support activities||2014|417029||.6||19594676||.5||294418||.6||585659||.6||11848204||.5||34037475||.6||81628544||.5||47631888||.5||2424959||5.3|
01|00|0100000US|United States||3231|Printing and related support activities||2015|416463||.7||19963339||.7||293101||.8||586744||.7||12176184||.7||34193711||.7||82673841||.6||48503373||.7||2154351||2.4|
01|00|0100000US|United States||3231|Printing and related support activities||2014|417029||.6||19594676||.5||294418||.6||585659||.6||11848204||.5||34037475||.6||81628544||.5||47631888||.5||2424959||5.3|
01|00|0100000US|United States||324|Petroleum and coal products manufacturing||2015|102923||.5||10366689||.2||67448||.7||146249||.6||5733206||.3||398132686||.1||507906621||.1||102292501||.2||15080286||.1|
01|00|0100000US|United States||324|Petroleum and coal products manufacturing||2014|102103||.5||9963647||.2||67279||.6||149027||.5||5707195||.3||686519538||.1||786274467||.1||92032691||.1||15548401||.2|
01|00|0100000US|United States||3241|Petroleum and coal products manufacturing||2015|102923||.5||10366689||.2||67448||.7||146249||.6||5733206||.3||398132686||.1||507906621||.1||102292501||.2||15080286||.1|
01|00|0100000US|United States||3241|Petroleum and coal products manufacturing||2014|102103||.5||9963647||.2||67279||.6||149027||.5||5707195||.3||686519538||.1||786274467||.1||92032691||.1||15548401||.2|
01|00|0100000US|United States||325|Chemical manufacturing||2015|746300||.3||56621519||.4||439197||.4||894284||.4||26916121||.4||354104678||.2||751622651||.2||396494489||.4||33349371||.6|
01|00|0100000US|United States||325|Chemical manufacturing||2014|714907||.3||53158025||.3||433987||.4||884400||.4||25673864||.4||406507250||.2||787436016||.2||380294991||.3||28104089||.8|
01|00|0100000US|United States||3251|Basic chemical manufacturing||2015|150272||.8||12826671||.6||91224||.8||197779||.8||7174780||.7||121147455||.3||217765338||.4||95561745||.6||11685782||.9|
01|00|0100000US|United States||3251|Basic chemical manufacturing||2014|146284||.8||12114827||.5||90333||1.1||194883||1.2||6714960||.8||159758083||.2||259925001||.1||99636012||.3||11553825||.9|
01|00|0100000US|United States||3252|Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing||2015|88955||1.6||6677549||2.7||60221||1.5||126252||1.7||3723528||1.4||61546577||.6||96438624||1.0||33430394||2.3||4904920||1.6|
01|00|0100000US|United States||3252|Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing||2014|86818||.8||6386339||.9||59630||1.0||124411||1.2||3648211||.7||78053465||.4||113724668||1.0||35941358||2.4||4224570||4.0|
01|00|0100000US|United States||3253|Pesticide, fertilizer, and other agricultural chemical manufacturing||2015|28587||1.6||2020257||1.2||18837||1.4||40339||1.5||1167863||1.0||19875992||.4||39046992||.4||18995009||.6||5713707||.3|
01|00|0100000US|United States||3253|Pesticide, fertilizer, and other agricultural chemical manufacturing||2014|28478||1.5||1979481||1.3||18699||1.4||39584||1.3||1145046||.9||22206076||.5||41645880||.3||19543277||.6||4073540||.4|
01|00|0100000US|United States||3254|Pharmaceutical and medicine manufacturing||2015|259746||.5||21312307||.5||131682||.8||252876||.9||8050944||.7||70994811||.6||222676741||.3||153719626||.6||7401312||1.8|
01|00|0100000US|United States||3254|Pharmaceutical and medicine manufacturing||2014|235099||.5||19136379||.5||127781||.7||248451||.9||7481497||.8||62437321||.8||199320724||.3||136105392||.6||4504968||1.9|
01|00|0100000US|United States||3255|Paint, coating, and adhesive manufacturing||2015|53815||1.0||3517481||.9||32729||1.0||67803||.9||1674471||1.1||21254917||.7||40523789||.7||19194620||1.0||663742||2.3|
01|00|0100000US|United States||3255|Paint, coating, and adhesive manufacturing||2014|53028||.9||3428253||.8||32268||.8||66797||.7||1631978||.6||22051896||.6||39998836||.6||17991642||1.0||588159||1.6|
01|00|0100000US|United States||3256|Soap, cleaning compound, and toilet preparation manufacturing||2015|87059||.9||5468842||.9||54305||1.0||106518||1.1||2627813||1.0||35424204||1.3||88893713||.7||53183095||.4||1868650||1.3|
01|00|0100000US|United States||3256|Soap, cleaning compound, and toilet preparation manufacturing||2014|86550||.8||5364044||.8||54591||.9||106205||1.0||2598271||.9||35918314||1.3||85250726||.7||49408484||.4||1896079||1.2|
01|00|0100000US|United States||3259|Other chemical product and preparation manufacturing||2015|77867||.9||4798413||1.0||50199||1.2||102718||1.3||2496723||1.7||23860723||.7||46277453||.7||22410000||1.0||1111259||2.4|
01|00|0100000US|United States||3259|Other chemical product and preparation manufacturing||2014|78650||.7||4748701||.8||50685||.9||104068||1.2||2453901||1.6||26082096||.6||47570182||.6||21668826||.9||1262948||1.5|
01|00|0100000US|United States||326|Plastics and rubber products manufacturing||2015|728708||1.1||34559389||.9||560591||1.2||1160868||1.3||22291123||1.1||124459408||.7||236362213||.7||111505305||.7||8402749||1.2|
01|00|0100000US|United States||326|Plastics and rubber products manufacturing||2014|711658||.7||33206612||.6||549553||.8||1137630||.9||21338854||.8||127208377||.5||234391839||.5||107708810||.9||9123835||3.2|
01|00|0100000US|United States||3261|Plastics product manufacturing||2015|599038||1.3||27937446||1.1||460695||1.5||954135||1.5||17781585||1.4||100296723||.9||191915004||.9||91200609||.9||7041462||1.4|
01|00|0100000US|United States||3261|Plastics product manufacturing||2014|583722||.9||26757424||.8||450827||1.0||932851||1.0||16970505||1.1||102192640||.6||189857907||.7||88163397||1.1||7127789||4.0|
01|00|0100000US|United States||3262|Rubber product manufacturing||2015|129671||.6||6621944||.3||99896||.6||206733||.6||4509538||.3||24162685||.5||44447209||.3||20304696||.5||1361287||1.4|
01|00|0100000US|United States||3262|Rubber product manufacturing||2014|127935||.5||6449188||.3||98726||.5||204778||.6||4368349||.2||25015738||.4||44533932||.3||19545413||.6||1996046||1.0|
01|00|0100000US|United States||327|Nonmetallic mineral product manufacturing||2015|366961||.6||18596164||.5||280067||.6||578456||.7||12622795||.5||50602631||.6||118029069||.5||67437629||.6||5824311||1.6|
01|00|0100000US|United States||327|Nonmetallic mineral product manufacturing||2014|355488||.5||17832870||.4||271392||.5||561411||.5||12111328||.4||49958760||.5||113186981||.4||63453438||.5||5472479||1.9|
01|00|0100000US|United States||3271|Clay product and refractory manufacturing||2015|32915||1.4||1562755||1.3||24707||1.7||49407||1.6||999437||1.6||2924916||3.4||7650340||1.8||4687252||1.8||257618||3.2|
01|00|0100000US|United States||3271|Clay product and refractory manufacturing||2014|32059||1.1||1492938||1.0||23976||1.3||47632||1.3||945320||1.2||3054102||1.7||7859241||1.4||4882989||2.0||513999||1.6|
01|00|0100000US|United States||3272|Glass and glass product manufacturing||2015|85899||1.2||4416993||1.0||68290||1.2||138851||1.3||2984310||.9||10362931||1.1||25517713||.8||15186075||1.0||1401557||1.6|
01|00|0100000US|United States||3272|Glass and glass product manufacturing||2014|81704||.9||4252724||.8||64852||.8||134387||.9||2936775||.7||10364820||1.1||24398201||.7||13969249||.8||1209160||1.7|
01|00|0100000US|United States||3273|Cement and concrete product manufacturing||2015|162263||.9||8061571||.9||125509||1.0||264166||1.2||5742802||1.0||25028173||.9||53330822||.9||28375744||1.1||2835067||2.9|
01|00|0100000US|United States||3273|Cement and concrete product manufacturing||2014|157304||.7||7652741||.6||121820||.8||253269||.8||5415434||.7||23423558||.7||48726636||.6||25464587||.9||2574586||3.8|
01|00|0100000US|United States||3274|Lime and gypsum product manufacturing||2015|12897||.3||792908||.2||10740||.3||22702||.3||615820||.2||3267292||.4||7404654||.2||4170633||.1||494447||2.2|
01|00|0100000US|United States||3274|Lime and gypsum product manufacturing||2014|12536||.3||753392||.1||10388||.4||21893||.3||578790||.2||3415371||.7||7361682||.3||3964022||.1||363348||4.2|
01|00|0100000US|United States||3279|Other nonmetallic mineral product manufacturing||2015|72987||1.7||3761935||.9||50821||1.6||103331||1.2||2280426||1.1||9019319||1.1||24125540||.9||15017926||1.2||835621||2.9|
01|00|0100000US|United States||3279|Other nonmetallic mineral product manufacturing||2014|71884||1.4||3681075||.7||50357||1.4||104231||1.1||2235009||.8||9700909||.9||24841221||.8||15172590||1.1||811387||3.9|
01|00|0100000US|United States||331|Primary metal manufacturing||2015|377984||.4||23352703||.3||296652||.5||641833||.4||16694336||.3||144506136||.2||228333906||.2||81071542||.4||5925856||1.6|
01|00|0100000US|United States||331|Primary metal manufacturing||2014|383631||.3||23872860||.2||302549||.3||656707||.4||17082510||.2||175241485||.2||265425219||.2||91440063||.3||6609688||.7|
01|00|0100000US|United States||3311|Iron and steel mills and ferroalloy manufacturing||2015|95618||.7|r|7443851||.4||76383||.7||170831||.7||5773312||.3||57820473||.4||88646738||.3||29305495||.3||1659412||1.0|
01|00|0100000US|United States||3311|Iron and steel mills and ferroalloy manufacturing||2014|99630||.6||7870702||.4||79471||.7||177871||.7||6067625||.3||74255205||.4||109137586||.3||35851654||.2||2293647||.9|
01|00|0100000US|United States||3312|Steel product manufacturing from purchased steel||2015|45216||.7||2627426||.7||33680||.9||72216||.9||1669107||.8||13612959||.8||20714313||.7||6744579||1.2||878711||3.9|
01|00|0100000US|United States||3312|Steel product manufacturing from purchased steel||2014|47335||.5||2741920||.4||36196||.6||77400||.6||1810957||.5||16667687||.6||25194217||.5||8502965||.7||697235||3.9|
01|00|0100000US|United States||3313|Alumina and aluminum production and processing||2015|57478||.7||3451576||.6||45637||.6||97527||.6||2488315||.5||26629439||.3||38029474||.5||11058575||1.6||1285137||2.3|
01|00|0100000US|United States||3313|Alumina and aluminum production and processing||2014|54953||.5||3295268||.4||43311||.7||93643||.8||2354182||.5||27638492||.2||39247382||.4||12049937||1.1||1036743||.8|
01|00|0100000US|United States||3314|Nonferrous metal (except aluminum) production and processing||2015|57736||.5||3556418||.6||42245||.6||90515||.7||2245259||.6||32357468||.3||48701093||.2||15896635||.5||898940||3.2|
01|00|0100000US|United States||3314|Nonferrous metal (except aluminum) production and processing||2014|58606||.4||3685185||.4||42496||.6||91624||.6||2257219||.5||41463462||.2||58126871||.3||16373464||.8||1143159||2.7|
01|00|0100000US|United States||3315|Foundries||2015|121936||1.0||6273432||.7||98706||1.2||210745||1.0||4518343||.7||14085798||.8||32242288||.8||18066259||1.0||1203657||6.4|
01|00|0100000US|United States||3315|Foundries||2014|123108||.6||6279786||.6||101075||.8||216168||.8||4592527||.6||15216638||.6||33719163||.6||18662042||.8||1438904||1.0|
01|00|0100000US|United States||332|Fabricated metal product manufacturing||2015|1371985||.3||72215803||.3||1002511||.3||2092934||.3||45057026||.3||162649336||.3||349958373||.2||187296055||.3||10235956||.9|
01|00|0100000US|United States||332|Fabricated metal product manufacturing||2014|1374991||.3||71700357||.2||1013761||.3||2110872||.3||44904372||.3||168611345||.3||357477610||.2||190967159||.2||10930161||1.7|
01|00|0100000US|United States||3321|Forging and stamping||2015|112588||.6||5901640||.8||83619||.5||173487||.5||3716054||.5||18168120||.4||33122638||.3||14924755||.5||1367365||1.4|
01|00|0100000US|United States||3321|Forging and stamping||2014|111846||.5||5892801||.5||83558||.5||172466||.4||3704458||.4||19815883||.3||35486549||.2||15932015||.3||1564164||1.5|
01|00|0100000US|United States||3322|Cutlery and handtool manufacturing||2015|34130||1.2||1799799||1.3||24388||1.4||50471||1.6||1078603||1.4||3648279||.9||10335223||.7||6721337||.9||320909||2.1|
01|00|0100000US|United States||3322|Cutlery and handtool manufacturing||2014|34483||.8||1786222||.7||24701||1.2||51268||1.6||1069423||1.2||3609074||.7||9908253||.5||6305973||.7||278611||2.9|
01|00|0100000US|United States||3323|Architectural and structural metals manufacturing||2015|328443||.8||16764882||.8||233997||.9||491438||.9||10034781||.8||43094182||.9||84556808||.7||41398548||.7||1653414||2.5|
01|00|0100000US|United States||3323|Architectural and structural metals manufacturing||2014|322922||.7||16157348||.7||231807||.8||483457||.8||9731094||.8||43081396||.8||82968191||.6||40542914||.8||1562580||2.1|
01|00|0100000US|United States||3324|Boiler, tank, and shipping container manufacturing||2015|87842||.6||5194412||.5||65855||.6||139199||.7||3404483||.6||20144051||.4||35051830||.4||14877364||.6||812190||1.4|
01|00|0100000US|United States||3324|Boiler, tank, and shipping container manufacturing||2014|90226||.6||5264758||.5||68271||.6||148027||.7||3453037||.6||21188878||.4||37060906||.4||15911964||.6||739322||2.0|
01|00|0100000US|United States||3325|Hardware manufacturing||2015|27217||1.0||1370238||1.1||18069||1.0||37110||1.2||711791||1.3||4005056||.9||8344090||.9||4378719||1.2||163952||4.1|
01|00|0100000US|United States||3325|Hardware manufacturing||2014|25817||.6||1295830||.7||17533||.7||35797||.9||681484||.9||3949824||.8||7975457||.6||4056795||.5||206094||2.3|
01|00|0100000US|United States||3326|Spring and wire product manufacturing||2015|35798||2.8||1733256||2.1||26600||2.5||56572||2.1||1071550||2.0||4417017||2.1||8992820||1.4||4578326||1.9||279666||4.1|
